velocity,mean_velocity,std_velocity,max_velocity,min_velocity
-0.6580569,-0.6983837,0.10748623,-0.49922344,-0.89140093
-0.55661327,-0.7025001,0.10977961,-0.49922344,-0.89140093
-0.56968176,-0.70857465,0.109942354,-0.49922344,-0.89140093
-0.63820755,-0.71390146,0.10953516,-0.49922344,-0.89140093
-0.74831444,-0.715816,0.10903083,-0.49922344,-0.89140093
-0.78215134,-0.71574247,0.10901012,-0.49922344,-0.89140093
-0.74355274,-0.7152449,0.10876239,-0.49922344,-0.89140093
-0.6540975,-0.71620476,0.10921876,-0.49922344,-0.89140093
-0.5406308,-0.7181693,0.10896706,-0.49922344,-0.89140093
-0.5121642,-0.71942115,0.10726636,-0.49922344,-0.89140093
-0.57956296,-0.71904993,0.10801261,-0.49360064,-0.89140093
-0.66703904,-0.71708333,0.111376986,-0.4812361,-0.89140093
-0.7915681,-0.71493614,0.11333887,-0.4812361,-0.89140093
-0.7887234,-0.71319413,0.11281582,-0.4812361,-0.89140093
-0.8001636,-0.7124266,0.11242923,-0.4812361,-0.89140093
-0.79647464,-0.7113106,0.11182816,-0.4812361,-0.89140093
-0.78912205,-0.70906454,0.111221276,-0.4812361,-0.89140093
-0.74960405,-0.70580995,0.1112119,-0.4812361,-0.89140093
-0.7724668,-0.70225,0.1125934,-0.4812361,-0.89140093
-0.82297075,-0.6995495,0.11249614,-0.4812361,-0.89140093
-0.8827803,-0.69735986,0.11112972,-0.4812361,-0.89140093
-0.8419629,-0.6967746,0.110225156,-0.4812361,-0.89140093
-0.71464604,-0.69867074,0.113473944,-0.4812361,-0.9367683
-0.6065107,-0.70228004,0.11674746,-0.4812361,-0.9367683
-0.55738205,-0.7063916,0.11692217,-0.4812361,-0.9367683
-0.5498988,-0.70932144,0.1149707,-0.4812361,-0.9367683
-0.6309701,-0.7118094,0.11281976,-0.4812361,-0.9367683
-0.72531825,-0.71288407,0.11229931,-0.4812361,-0.9367683
-0.85191476,-0.71257204,0.112286,-0.4812361,-0.9367683
